FullCategoryName,UPC,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
Electronics -> Video Games -> Games -> Sony,13388580132,New,B2BMarketplace,0.057692308,0.057692308,1.285714286,0.060606061,6,$125 ,35%,42%,0.068181818,6,$125 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",13803341768,New,B2BMarketplace,0.011494253,0.011494253,0.0625,0.014084507,1,$18 ,19%,24%,0.019607843,1,$18 
Home -> Kitchen & Dining,14400660009,New,B2BMarketplace,0.00990099,0.01,1,0.01010101,1,$9 ,82%,64%,0.010526316,1,$9 
Home -> Appliances -> Major Appliances -> Laundry,14501165885,New,B2BMarketplace,0.25,0.25,0.5,0.5,1,$50 ,56%,63%,0.5,1,$50 
Electronics -> Computers -> Computer Software -> Games,14633369601,New,B2BMarketplace,0.069767442,0.142857143,0.162162162,0.171428571,18,$54 ,10%,8%,0.191489362,18,$54 
Electronics -> Video Games -> Games -> Microsoft,14633376395,New,B2BMarketplace,0.081081081,0.103448276,0.3,0.142857143,3,$9 ,15%,8%,0.166666667,3,$9 
Electronics -> Video Games -> Games -> Sony,14633377194,New,B2BMarketplace,0.052631579,0.052631579,0.571428571,0.057142857,2,$20 ,21%,20%,0.0625,2,$20 
Electronics -> Video Games -> Games -> Sony,14633377316,New,B2BMarketplace,0.342857143,0.342857143,3.272727273,0.387096774,12,$65 ,14%,18%,0.47826087,11,$55 
Electronics -> Video Games -> Games -> Microsoft,14633379334,New,B2BMarketplace,0.018518519,0.018518519,1,0.018867925,1,$5 ,7%,14%,0.026315789,1,$5 
Electronics -> Video Games -> Games -> Sony,14633379389,New,B2BMarketplace,0.166666667,0.166666667,0.2,1,2,$22 ,18%,18%,,,
Electronics -> Video Games -> Games -> Microsoft,14633379426,New,B2BMarketplace,0.642857143,0.642857143,0.75,4.5,9,$81 ,14%,25%,,,
Electronics -> Video Games -> Games -> Microsoft,14633379457,New,B2BMarketplace,0.307692308,0.307692308,3.92,0.35443038,28,$112 ,10%,5%,0.394366197,28,$112 
Electronics -> Video Games -> Games -> Sony,14633379471,New,B2BMarketplace,0.03125,0.032258065,0.066666667,0.0625,1,$10 ,17%,34%,0.066666667,1,$10 
Electronics -> Video Games -> Games -> Sony,14633379501,New,B2BMarketplace,0.071428571,0.071428571,0.5,0.095238095,4,$25 ,9%,21%,0.081081081,3,$15 
Electronics -> Video Games -> Games -> Microsoft,14633381689,New,B2BMarketplace,0.138888889,0.396825397,0.301895906,0.434782609,50,$150 ,8%,5%,0.462962963,50,$150 
Electronics -> Video Games -> Games -> Sony,14633382006,New,B2BMarketplace,0.013888889,0.013888889,0.2,0.014925373,1,$5 ,9%,9%,0.015151515,1,$5 
Electronics -> Video Games -> Games -> Sony,14633382051,New,B2BMarketplace,0.12244898,0.12244898,1.125,0.142857143,6,$98 ,33%,24%,0.108108108,4,$60 
Electronics -> Video Games -> Games -> Sony,14633382075,New,B2BMarketplace,0.8,0.8,10.71428571,0.895522388,60,$902 ,23%,43%,1,58,$852 
Electronics -> Video Games -> Games -> Sony,14633382129,New,B2BMarketplace,0.047619048,0.047619048,0.285714286,0.057142857,2,$30 ,22%,43%,0.0625,2,$30 
Electronics -> Video Games -> Games -> Microsoft,14633382136,New,B2BMarketplace,0.026315789,0.026315789,0.111111111,0.034482759,1,$15 ,21%,43%,0.04,1,$15 
Electronics -> Video Games -> Games -> Sony,14633382709,New,B2BMarketplace,0.113445378,0.214285714,1.028208745,0.257142857,27,$322 ,15%,52%,0.276595745,26,$316 
Electronics -> Video Games -> Games -> Nintendo,14633383119,New,B2BMarketplace,0.03030303,0.03030303,0.5,0.032258065,1,$6 ,12%,20%,0.043478261,1,$6 
Electronics -> Video Games -> Games -> Sony,14633383270,New,B2BMarketplace,0.071428571,0.142857143,0.083333333,0.5,1,$8 ,11%,15%,,,
Electronics -> Video Games -> Games -> Sony,14633383638,New,B2BMarketplace,0.027027027,0.027027027,0.052631579,0.055555556,1,$4 ,8%,13%,0.090909091,1,$4 
Electronics -> Video Games -> Games -> Sony,14633383973,New,B2BMarketplace,0.470588235,0.470588235,4.8,0.685714286,24,$307 ,18%,32%,0.8,24,$307 
Electronics -> Video Games -> Games -> Microsoft,14633384055,New,B2BMarketplace,0.096296296,0.103174603,0.8125,0.132653061,13,$218 ,24%,24%,0.136842105,13,$218 
