FullCategoryName,UPC,BundleTitle,Condition,Order_Type,Average Checked In per Day,Average Produced per Day,Average Sold per Day After Listing,Average Sold per Day,Sold Quantity,GAAP Sales,Sold Recovery % (Lowest Retail),Sold Recovery % (Anchor MSRP),Average Shipped per Day,Shipped Quantity,Shipped GAAP Sales
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343876200,Epson T127520-S DuraBrite 127 Extra High-Capacity Ultra Catridge - Multicolor,BRAND NEW,B2BMarketplace,0.0625,0.0625,0.5,0.071428571,1,$25 ,42%,42%,0.083333333,1,$25 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343901186,Epson T200XL120 200XL High Yield Capacity Inkjet Cartridge,BRAND NEW,B2BMarketplace,0.233333333,0.233333333,5.802631579,0.24137931,21,$206 ,32%,31%,0.272727273,21,$206 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343901407,Epson T200120-BCS Black and Color DURABrite Ink Combo Pack,BRAND NEW,B2BMarketplace,0.043478261,0.043478261,0.117647059,0.064516129,2,$24 ,32%,32%,0.074074074,2,$24 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343914056,Epson T126120-BCS High Capacity 126 Tri-Color Ink Cartridges,BRAND NEW,B2BMarketplace,0.012048193,0.012048193,0.111111111,0.013513514,1,$15 ,21%,22%,0.018518519,1,$15 
Office -> Office Supplies,10343915688,OEM Epson T220XL120 (220XL) High-Capacity DURABrite Ultra Black Ink Cartridge,BRAND NEW,B2BMarketplace,0.00729927,0.007751938,0.035714286,0.009174312,1,$10 ,33%,29%,0.009433962,1,$10 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343915763,Epson T220XL-BCS Ultra 220XL/220 High Yield Black and Standard Color 4/Pack,BRAND NEW,B2BMarketplace,0.00729927,0.007751938,0.035714286,0.009174312,1,$29 ,53%,53%,0.009433962,1,$29 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343923904,"Epson T410XL-BCS Claria Cartridge Ink, 5 Pack, Black",BRAND NEW,B2BMarketplace,0.083333333,0.083333333,0.2,0.142857143,1,$39 ,53%,53%,,,
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343931985,Epson T702XL120-S DURABrite Ultra Black High Capacity Cartridge Ink,BRAND NEW,B2BMarketplace,0.083333333,0.083333333,0.2,0.142857143,1,$15 ,38%,38%,,,
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343932210,Epson T802520-S 802 Standard-capacity Color Multi-Pack Ink Cartridges,BRAND NEW,B2BMarketplace,0.013157895,0.013157895,0.5,0.013513514,1,$25 ,33%,33%,0.018518519,1,$25 
"Electronics -> Printers, Scanners & Faxes -> Ink, Toner, Accessories & Supplies",10343932241,Epson T802XL120-S 802XL High-Yield Ink Cartridge Black,BRAND NEW,B2BMarketplace,0.032,0.032,0.235294118,0.038461538,4,$72 ,36%,36%,0.044444444,4,$72 
